symbol,entry_time,exit_time,entry,exit,qty,pnl,reason,bars,score,R
TONUSDT,2025-06-10 00:00:00+00:00,2025-06-12 08:00:00+00:00,3.3044,3.1698931136984605,24210.144050357103,-3363.8720895948954,stop,15,6,-1.0
LTCUSDT,2025-07-11 04:00:00+00:00,2025-07-12 12:00:00+00:00,95.43,91.9663367713263,835.3033781478185,-3000.757304170886,stop,9,6,-1.0
CAKEUSDT,2025-07-11 00:00:00+00:00,2025-07-12 16:00:00+00:00,2.4856,2.391863769337396,32073.515542658683,-3113.8521227617384,stop,11,6,-1.0
LTCUSDT,2025-07-12 16:00:00+00:00,2025-07-15 00:00:00+00:00,91.1,92.26731804550786,872.2723703200712,905.5441533720585,stop,15,6,0.461675340091916
CAKEUSDT,2025-07-14 16:00:00+00:00,2025-07-15 00:00:00+00:00,2.4058,2.337016374596981,32922.93823131129,-2372.2770745142343,stop,3,6,-1.0
FILUSDT,2025-07-15 04:00:00+00:00,2025-07-16 16:00:00+00:00,2.487,2.68596,15893.282636502607,3102.3633033560823,target50,10,6,3.196701096208583
LTCUSDT,2025-07-15 04:00:00+00:00,2025-07-16 16:00:00+00:00,91.85,99.198,430.2903313931767,3102.015838666105,target50,10,6,4.507136479464305
APTUSDT,2025-07-14 20:00:00+00:00,2025-07-16 20:00:00+00:00,4.9589,5.35572,7985.352973880442,3108.873526614257,target50,13,6,1.6435898368889377
ATOMUSDT,2025-07-14 20:00:00+00:00,2025-07-17 20:00:00+00:00,4.533,4.89456,8734.641919851567,3098.2440120042115,target50,19,6,1.6427315800153983
ICPUSDT,2025-07-14 20:00:00+00:00,2025-07-17 20:00:00+00:00,5.397,5.828760000000001,7335.5007003748415,3107.316160106602,target50,19,6,1.532010701480566
LTCUSDT,2025-07-15 04:00:00+00:00,2025-07-18 16:00:00+00:00,91.85,103.05474893250187,430.2903313931767,4759.214284445844,stop,22,6,6.872799762781427
ICPUSDT,2025-07-14 20:00:00+00:00,2025-07-18 20:00:00+00:00,5.397,5.6074834304531205,7335.5007003748415,1486.4141734221619,stop,25,6,0.7468567443452849
ATOMUSDT,2025-07-14 20:00:00+00:00,2025-07-19 00:00:00+00:00,4.533,4.7551074327614735,8734.641919851567,1881.881067907142,stop,26,6,1.0091351199065681
FILUSDT,2025-07-15 04:00:00+00:00,2025-07-22 08:00:00+00:00,2.487,2.7662667843179607,15893.282636502607,4376.914850360973,stop,44,6,4.486994549476631
TONUSDT,2025-07-20 20:00:00+00:00,2025-07-22 12:00:00+00:00,3.2897,3.552444,12300.086132603905,3170.6003167711287,target50,11,6,1.7018985957107766
TONUSDT,2025-07-20 20:00:00+00:00,2025-07-22 20:00:00+00:00,3.2897,3.3246966427104896,12300.086132603905,373.2100425928232,stop,13,6,0.2266873347576891
APTUSDT,2025-07-14 20:00:00+00:00,2025-07-23 12:00:00+00:00,4.9589,5.130448687125099,7985.352973880442,1312.5209977461934,stop,53,6,0.7105379736163847
TONUSDT,2025-07-23 04:00:00+00:00,2025-07-23 12:00:00+00:00,3.2768,3.1104446721106567,24887.62844016163,-4248.565817347677,stop,3,6,-1.0
TONUSDT,2025-07-24 16:00:00+00:00,2025-07-24 20:00:00+00:00,3.2227,3.1254406263879213,25226.87715834087,-2563.933420055698,stop,2,6,-1.0
CAKEUSDT,2025-07-24 16:00:00+00:00,2025-07-27 04:00:00+00:00,2.6449,2.856276,15370.668737512906,3187.5264539540567,target50,16,6,2.623314460236743
CAKEUSDT,2025-07-24 16:00:00+00:00,2025-07-28 12:00:00+00:00,2.6449,3.02814728389745,15370.668737512906,5825.604537034411,stop,24,6,4.756349546280741
NEARUSDT,2025-10-03 04:00:00+00:00,2025-10-05 04:00:00+00:00,2.92,3.1536,14007.788933950978,3210.3745465159977,target50,13,6,2.063368336020233
DOTUSDT,2025-10-03 20:00:00+00:00,2025-10-05 16:00:00+00:00,4.317,4.092127553306762,18947.49250861427,-4369.318777738698,stop,12,6,-1.0
NEARUSDT,2025-10-03 04:00:00+00:00,2025-10-06 00:00:00+00:00,2.92,2.9403327717178396,14007.788933950978,227.15458945918203,stop,18,6,0.17959759137893
LTCUSDT,2025-10-05 08:00:00+00:00,2025-10-07 12:00:00+00:00,122.04,116.12234595683208,672.2713367337855,-4087.561208566081,stop,14,6,-1.0
DOTUSDT,2025-10-07 00:00:00+00:00,2025-10-07 12:00:00+00:00,4.398,4.16448749550127,18577.40606471308,-4446.368142618534,stop,4,6,-1.0
NEARUSDT,2025-10-08 12:00:00+00:00,2025-10-09 00:00:00+00:00,2.935,2.889369797508171,27598.80526223806,-1370.9794887693108,stop,4,6,-1.0
LTCUSDT,2025-10-07 16:00:00+00:00,2025-10-09 20:00:00+00:00,116.08,125.36640000000001,348.9471344768419,3179.2179251502007,target50,14,6,4.150997089584092
LTCUSDT,2025-10-07 16:00:00+00:00,2025-10-10 20:00:00+00:00,116.08,124.17292797091412,348.9471344768419,2763.342322624894,stop,20,6,3.617518139804246
FILUSDT,2026-01-15 16:00:00+00:00,2026-01-15 16:00:00+00:00,1.529,1.4824374941086251,53210.69171100286,-2588.057280549482,stop,1,6,-1.0
MORPHOUSDT,2026-04-16 08:00:00+00:00,2026-04-17 12:00:00+00:00,1.7755,1.9180800000000002,22850.743683228746,3196.6976581332597,target50,8,6,1.798932303179513
MORPHOUSDT,2026-04-16 08:00:00+00:00,2026-04-21 00:00:00+00:00,1.7755,1.900918302411364,22850.743683228746,2805.0891259401237,stop,29,6,1.582403111360215
TONUSDT,2026-05-04 08:00:00+00:00,2026-05-04 20:00:00+00:00,1.3849,1.4958,29465.681907321617,3206.039449726207,target50,4,6,2.6144345152723325
TONUSDT,2026-05-04 08:00:00+00:00,2026-05-05 04:00:00+00:00,1.3849,1.6891460896910298,29465.681907321617,8895.13792245896,stop,6,6,7.1725110732630295
SUIUSDT,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1.0297,0.984151500946558,80164.37578236643,-3761.818441491014,stop,1,6,-1.0
LTCUSDT,2026-05-06 12:00:00+00:00,2026-05-07 00:00:00+00:00,57.68,56.19509111892922,1431.2500667048134,-2237.876854160554,stop,4,6,-1.0
CAKEUSDT,2026-05-06 12:00:00+00:00,2026-05-07 12:00:00+00:00,1.5881,1.535623866628895,51989.0126488535,-2839.9521576697734,stop,7,6,-1.0
CAKEUSDT,2026-05-07 16:00:00+00:00,2026-05-07 20:00:00+00:00,1.5269,1.5061458207668768,53579.423180610334,-1224.974745921348,stop,2,6,-1.0
JASMYUSDT,2026-05-06 20:00:00+00:00,2026-05-08 20:00:00+00:00,0.005832,0.006296400000000001,7049541.912842072,3211.6658343438335,target50,13,6,3.133055148028862
ENSUSDT,2026-05-06 04:00:00+00:00,2026-05-09 00:00:00+00:00,6.464,6.981120000000001,6387.1441184677105,3240.49477917438,target50,18,6,1.8827073639580603
SUIUSDT,2026-05-06 16:00:00+00:00,2026-05-09 00:00:00+00:00,0.9911,1.0703880000000001,41486.765815213505,3227.2329771542736,target50,15,6,1.5029262463521456
ENSUSDT,2026-05-06 04:00:00+00:00,2026-05-10 00:00:00+00:00,6.464,6.760301051180768,6387.1441184677105,1832.0668924076726,stop,24,6,1.0787596128684742
JASMYUSDT,2026-05-06 20:00:00+00:00,2026-05-10 08:00:00+00:00,0.005832,0.006976617204529244,7049541.912842072,8000.172219938573,stop,22,6,7.722112026642444
CAKEUSDT,2026-05-08 16:00:00+00:00,2026-05-11 00:00:00+00:00,1.5469,1.568983852010681,52817.4158042664,1050.3944527054628,stop,15,6,0.5718782945447516
SUIUSDT,2026-05-06 16:00:00+00:00,2026-05-11 04:00:00+00:00,0.9911,1.271306859120598,41486.765815213505,11551.036970231718,stop,28,6,5.311399492738424
